Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Sales,Product ID,Order ID
CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,$261.96 ,FUR-BO-10001798,CA-2017-152156
CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,$731.94 ,FUR-CH-10000454,CA-2017-152156
DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,$14.62 ,OFF-LA-10000240,CA-2017-138688
SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,$957.58 ,FUR-TA-10000577,US-2016-108966
SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,$22.37 ,OFF-ST-10000760,US-2016-108966
BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,$48.86 ,FUR-FU-10001487,CA-2015-115812
BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,$7.28 ,OFF-AR-10002833,CA-2015-115812
BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,$907.15 ,TEC-PH-10002275,CA-2015-115812
BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,$18.50 ,OFF-BI-10003910,CA-2015-115812
BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,$114.90 ,OFF-AP-10002892,CA-2015-115812
BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,"$1,706.18 ",FUR-TA-10001539,CA-2015-115812
BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,$911.42 ,TEC-PH-10002033,CA-2015-115812
AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,$15.55 ,OFF-PA-10002365,CA-2018-114412
IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,$407.98 ,OFF-BI-10003656,CA-2017-161389
HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,$68.81 ,OFF-AP-10002311,US-2016-118983
HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,$2.54 ,OFF-BI-10000756,US-2016-118983
PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,$665.88 ,OFF-ST-10004186,CA-2015-105893
AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,$55.50 ,OFF-ST-10000107,CA-2015-167164
ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,$8.56 ,OFF-AR-10003056,CA-2015-143336
ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,$213.48 ,TEC-PH-10001949,CA-2015-143336
ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,$22.72 ,OFF-BI-10002215,CA-2015-143336
KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,$19.46 ,OFF-AR-10000246,CA-2017-137330
KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,$60.34 ,OFF-AP-10001492,CA-2017-137330
SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,$71.37 ,FUR-CH-10002774,US-2018-156909
EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,"$1,044.63 ",FUR-TA-10000577,CA-2016-106320
EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,$11.65 ,OFF-BI-10001634,CA-2017-121755
EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,$90.57 ,TEC-AC-10003027,CA-2017-121755
TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,"$3,083.43 ",FUR-BO-10004834,US-2016-150630
TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,$9.62 ,OFF-BI-10000474,US-2016-150630
TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,$124.20 ,FUR-FU-10004848,US-2016-150630
TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,$3.26 ,OFF-EN-10001509,US-2016-150630
TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,$86.30 ,OFF-AR-10004042,US-2016-150630
TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,$6.86 ,OFF-BI-10001525,US-2016-150630
TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,$15.76 ,OFF-AR-10001683,US-2016-150630
MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,$29.47 ,OFF-PA-10000249,CA-2018-107727
GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,"$1,097.54 ",TEC-PH-10004977,CA-2017-117590
GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,$190.92 ,FUR-FU-10003664,CA-2017-117590
SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,$113.33 ,OFF-EN-10002986,CA-2016-117415
SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,$532.40 ,FUR-BO-10002545,CA-2016-117415
SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,$212.06 ,FUR-CH-10004218,CA-2016-117415
SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,$371.17 ,TEC-PH-10000486,CA-2016-117415
LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,$147.17 ,TEC-PH-10004093,CA-2018-120999
RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,$77.88 ,OFF-ST-10003479,CA-2017-101343
ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,$95.62 ,OFF-ST-10003282,CA-2018-139619
ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,$45.98 ,TEC-AC-10000171,CA-2017-118255
ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,$17.46 ,OFF-BI-10003291,CA-2017-118255
PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,$211.96 ,OFF-ST-10001713,CA-2015-146703
LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,$45.00 ,TEC-AC-10002167,CA-2017-169194
LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,$21.80 ,TEC-PH-10003988,CA-2017-169194
DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,$38.22 ,OFF-BI-10004410,CA-2016-115742
DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,$75.18 ,OFF-LA-10002762,CA-2016-115742
DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,$6.16 ,FUR-FU-10001706,CA-2016-115742
DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,$89.99 ,FUR-CH-10003061,CA-2016-115742
JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,$15.26 ,OFF-FA-10000304,CA-2017-105816
JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,"$1,029.95 ",TEC-PH-10002447,CA-2017-105816
TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,$208.56 ,OFF-ST-10000604,CA-2017-111682
TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,$32.40 ,OFF-PA-10001569,CA-2017-111682
TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,$319.41 ,FUR-CH-10003968,CA-2017-111682
TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,$14.56 ,OFF-PA-10000587,CA-2017-111682
TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,$30.00 ,TEC-AC-10002167,CA-2017-111682
TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,$48.48 ,OFF-BI-10001460,CA-2017-111682
TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,$1.68 ,OFF-AR-10001868,CA-2017-111682
KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,$13.98 ,TEC-AC-10004633,CA-2016-135545
KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,$25.82 ,OFF-BI-10001078,CA-2016-135545
KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,$146.73 ,OFF-PA-10003892,CA-2016-135545
KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,$79.76 ,FUR-FU-10000397,CA-2016-135545
PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,$213.12 ,FUR-CH-10001146,US-2016-164175
BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,"$1,113.02 ",OFF-AR-10002671,CA-2015-106376
BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,$167.97 ,TEC-PH-10002726,CA-2015-106376
